ID,Property URL,MLS ID,Property price (USD),Sold date (MM/DD/YYYY),Living area,Living area unit,Price per living area unit (USD),Lot/land area,Lot/land area unit,Bedrooms,Bathrooms,Street address,City,Zip,State,Country,AC
7883,https://www.zillow.com/homedetails/1016-E-Osborn-Rd-UNIT-F-Phoenix-AZ-85014/7535323_zpid/,,225000,8/5/2022,617,sqft,364.67,635,sqft,1,1,1016 E Osborn Rd UNIT F,Phoenix,85014,AZ,USA,1
7884,https://www.zillow.com/homedetails/207-W-Clarendon-Ave-UNIT-22A-Phoenix-AZ-85013/7535855_zpid/,,225000,6/16/2023,852,sqft,264.08,1016,sqft,2,1,207 W Clarendon Ave UNIT 22A,Phoenix,85013,AZ,USA,1
7885,https://www.zillow.com/homedetails/353-E-Thomas-Rd-UNIT-C106-Phoenix-AZ-85012/7536327_zpid/,,225000,12/15/2021,1102,sqft,204.17,1180,sqft,2,2,353 E Thomas Rd UNIT C106,Phoenix,85012,AZ,USA,1
7886,https://www.zillow.com/homedetails/351-E-Thomas-Rd-UNIT-D304-Phoenix-AZ-85012/7536379_zpid/,,225000,10/14/2022,1102,sqft,204.17,127,sqft,2,2,351 E Thomas Rd UNIT D304,Phoenix,85012,AZ,USA,1
7887,https://www.zillow.com/homedetails/349-E-Thomas-Rd-UNIT-E302-Phoenix-AZ-85012/7536385_zpid/,,225000,3/16/2022,754,sqft,298.41,857,sqft,1,1,349 E Thomas Rd UNIT E302,Phoenix,85012,AZ,USA,1
7888,https://www.zillow.com/homedetails/351-E-Thomas-Rd-UNIT-D402-Phoenix-AZ-85012/7536401_zpid/,,225000,1/31/2022,1102,sqft,204.17,128,sqft,2,2,351 E Thomas Rd UNIT D402,Phoenix,85012,AZ,USA,0
7889,https://www.zillow.com/homedetails/511-E-Roanoke-Ave-APT-D-Phoenix-AZ-85004/7536444_zpid/,,225000,10/20/2021,1064,sqft,211.47,1341,sqft,2,2,511 E Roanoke Ave APT D,Phoenix,85004,AZ,USA,1
7890,https://www.zillow.com/homedetails/1808-N-32nd-St-APT-206-Phoenix-AZ-85008/7542492_zpid/,,225000,3/23/2022,796,sqft,282.66,809,sqft,2,2,1808 N 32nd St APT 206,Phoenix,85008,AZ,USA,1
7891,https://www.zillow.com/homedetails/4211-E-Palm-Ln-UNIT-211-Phoenix-AZ-85008/7560847_zpid/,,225000,2/27/2024,893,sqft,251.96,96,sqft,2,2,4211 E Palm Ln UNIT 211,Phoenix,85008,AZ,USA,1
7892,https://www.zillow.com/homedetails/5525-E-Thomas-Rd-UNIT-D1-Phoenix-AZ-85018/7562396_zpid/,,225000,8/16/2021,982,sqft,229.12,983,sqft,2,2,5525 E Thomas Rd UNIT D1,Phoenix,85018,AZ,USA,1
7893,https://www.zillow.com/homedetails/5525-E-Thomas-Rd-UNIT-J2-Phoenix-AZ-85018/7562469_zpid/,,225000,11/18/2022,982,sqft,229.12,1032,sqft,2,2,5525 E Thomas Rd UNIT J2,Phoenix,85018,AZ,USA,1
7894,https://www.zillow.com/homedetails/5525-E-Thomas-Rd-UNIT-P4-Phoenix-AZ-85018/7562547_zpid/,,225000,12/15/2023,848,sqft,265.33,775,sqft,2,1,5525 E Thomas Rd UNIT P4,Phoenix,85018,AZ,USA,1
7895,https://www.zillow.com/homedetails/11034-N-28th-Dr-UNIT-105-Phoenix-AZ-85029/7739943_zpid/,,225000,6/3/2021,1087,sqft,206.99,887,sqft,2,2,11034 N 28th Dr UNIT 105,Phoenix,85029,AZ,USA,1
7896,https://www.zillow.com/homedetails/11046-N-28th-Dr-UNIT-141-Phoenix-AZ-85029/7739956_zpid/,,225000,12/29/2021,1281,sqft,175.64,794,sqft,3,2,11046 N 28th Dr UNIT 141,Phoenix,85029,AZ,USA,1
7897,https://www.zillow.com/homedetails/10828-N-Biltmore-Dr-APT-262-Phoenix-AZ-85029/7740369_zpid/,,225000,12/9/2021,1036,sqft,217.18,1039,sqft,2,2,10828 N Biltmore Dr APT 262,Phoenix,85029,AZ,USA,1
7898,https://www.zillow.com/homedetails/11666-N-28th-Dr-UNIT-174-Phoenix-AZ-85029/7750093_zpid/,,225000,8/27/2023,939,sqft,239.62,847,sqft,2,2,11666 N 28th Dr UNIT 174,Phoenix,85029,AZ,USA,1
7899,https://www.zillow.com/homedetails/2533-W-Hazelwood-St-APT-8-Phoenix-AZ-85017/7766951_zpid/,,225000,10/23/2023,988,sqft,227.73,1599,sqft,2,1,2533 W Hazelwood St APT 8,Phoenix,85017,AZ,USA,1
7900,https://www.zillow.com/homedetails/1352-E-Highland-Ave-UNIT-212-Phoenix-AZ-85014/7769308_zpid/,,225000,11/6/2023,956,sqft,235.36,97,sqft,2,2,1352 E Highland Ave UNIT 212,Phoenix,85014,AZ,USA,1
7901,https://www.zillow.com/homedetails/5035-N-17th-Ave-UNIT-103-Phoenix-AZ-85015/7776019_zpid/,,225000,4/12/2022,789,sqft,285.17,871,sqft,2,2,5035 N 17th Ave UNIT 103,Phoenix,85015,AZ,USA,1
7902,https://www.zillow.com/homedetails/6501-N-17th-Ave-APT-206-Phoenix-AZ-85015/7776703_zpid/,,225000,7/29/2021,1323,sqft,170.07,1323,sqft,2,2,6501 N 17th Ave APT 206,Phoenix,85015,AZ,USA,1
7903,https://www.zillow.com/homedetails/10410-N-Cave-Creek-Rd-UNIT-2101-Phoenix-AZ-85020/7786518_zpid/,,225000,7/22/2021,1082,sqft,207.95,1401,sqft,2,2,10410 N Cave Creek Rd UNIT 2101,Phoenix,85020,AZ,USA,1
7904,https://www.zillow.com/homedetails/214-E-Ruth-Ave-UNIT-106-Phoenix-AZ-85020/7794060_zpid/,,225000,12/30/2022,952,sqft,236.34,914,sqft,2,2,214 E Ruth Ave UNIT 106,Phoenix,85020,AZ,USA,1
7905,https://www.zillow.com/homedetails/1320-E-Bethany-Home-Rd-UNIT-95-Phoenix-AZ-85014/7797411_zpid/,,225000,4/17/2023,672,sqft,334.82,619,sqft,1,1,1320 E Bethany Home Rd UNIT 95,Phoenix,85014,AZ,USA,1
7906,https://www.zillow.com/homedetails/1253-E-Maryland-Ave-UNIT-B-Phoenix-AZ-85014/7797578_zpid/,,225000,3/28/2022,1152,sqft,195.31,471,sqft,2,2,1253 E Maryland Ave UNIT B,Phoenix,85014,AZ,USA,1
