"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2022 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2022 inflation-adjusted dollars)",
"1400000US04013071514","Census Tract 715.14; Maricopa County; Arizona","92953","13110",
"1400000US04013071515","Census Tract 715.15; Maricopa County; Arizona","75264","10294",
"1400000US04013071516","Census Tract 715.16; Maricopa County; Arizona","58300","20810",
"1400000US04013071517","Census Tract 715.17; Maricopa County; Arizona","100461","13570",
"1400000US04013071600","Census Tract 716; Maricopa County; Arizona","43500","4769",
"1400000US04013071701","Census Tract 717.01; Maricopa County; Arizona","76792","5671",
"1400000US04013071702","Census Tract 717.02; Maricopa County; Arizona","42689","6096",
"1400000US04013071801","Census Tract 718.01; Maricopa County; Arizona","42031","8356",
"1400000US04013071802","Census Tract 718.02; Maricopa County; Arizona","42372","9959",
"1400000US04013071903","Census Tract 719.03; Maricopa County; Arizona","77578","10981",
"1400000US04013071906","Census Tract 719.06; Maricopa County; Arizona","62480","12938",
"1400000US04013071909","Census Tract 719.09; Maricopa County; Arizona","55978","7933",
"1400000US04013071910","Census Tract 719.10; Maricopa County; Arizona","55581","5974",
"1400000US04013071911","Census Tract 719.11; Maricopa County; Arizona","70787","18119",
"1400000US04013071912","Census Tract 719.12; Maricopa County; Arizona","51587","18651",
"1400000US04013071913","Census Tract 719.13; Maricopa County; Arizona","49482","8466",
"1400000US04013071914","Census Tract 719.14; Maricopa County; Arizona","66548","11609",
"1400000US04013071915","Census Tract 719.15; Maricopa County; Arizona","67250","11792",
"1400000US04013082002","Census Tract 820.02; Maricopa County; Arizona","81709","30298",
"1400000US04013082007","Census Tract 820.07; Maricopa County; Arizona","60500","9194",
"1400000US04013082008","Census Tract 820.08; Maricopa County; Arizona","75982","13696",
"1400000US04013082009","Census Tract 820.09; Maricopa County; Arizona","67344","8936",
"1400000US04013082010","Census Tract 820.10; Maricopa County; Arizona","78851","11649",
"1400000US04013082012","Census Tract 820.12; Maricopa County; Arizona","76419","5813",
"1400000US04013082016","Census Tract 820.16; Maricopa County; Arizona","85195","14171",
