,ID,Property price (USD),Sold date (MM/DD/YYYY),Address,Living area,Living area unit,Price per living area unit (USD),Lot/land area,Lot/land area unit,Bedrooms,Bathrooms,Street address,City,Zip,AC,FormattedAddress,Longitude,Latitude
8956,8957,278000,1/18/2022,"7031 S 42nd Pl, Phoenix, AZ, 85042",1208.0,sqft,230.13,4299.0,sqft,3.0,2.0,7031 S 42nd Pl,Phoenix,85042,1,"7031 S 42ND PL, PHOENIX, AZ, 85042",-111.99072625387294,33.38290221203823
8957,8958,278000,6/1/2021,"4035 W Gardenia Ave, Phoenix, AZ, 85051",1620.0,sqft,171.6,9082.0,sqft,4.0,2.0,4035 W Gardenia Ave,Phoenix,85051,1,"4035 W GARDENIA AVE, PHOENIX, AZ, 85051",-112.14641842194982,33.54419184355089
8958,8959,278000,3/25/2021,"6011 N 32nd Ave, Phoenix, AZ, 85017",1610.0,sqft,172.67,6003.0,sqft,4.0,2.0,6011 N 32nd Ave,Phoenix,85017,1,"6011 N 32ND AVE, PHOENIX, AZ, 85017",-112.12807623678009,33.52422228040825
8959,8960,278000,10/11/2023,"3625 W Krall St, Phoenix, AZ, 85019",1416.0,sqft,196.33,6821.0,sqft,,2.0,3625 W Krall St,Phoenix,85019,1,"3625 W KRALL ST, PHOENIX, AZ, 85019",-112.13699661026442,33.534039979868055
8960,8961,278000,5/15/2021,"19822 N 48th Ln, Glendale, AZ, 85308",1136.0,sqft,244.72,5467.0,sqft,3.0,2.0,19822 N 48th Ln,Glendale,85308,1,"19822 N 48TH LN, GLENDALE, AZ, 85308",-112.16456560707553,33.66506125522608
8961,8962,278000,6/18/2021,"12357 S Shoshoni Dr, Phoenix, AZ, 85044",892.0,sqft,311.66,6922.0,sqft,2.0,2.0,12357 S Shoshoni Dr,Phoenix,85044,1,"12357 S SHOSHONI DR, PHOENIX, AZ, 85044",-111.98339847399308,33.33550348321728
8962,8963,278000,4/6/2021,"1431 E Chipman Rd, Phoenix, AZ, 85040",1534.0,sqft,181.23,3102.0,sqft,4.0,3.0,1431 E Chipman Rd,Phoenix,85040,1,"1431 E CHIPMAN RD, PHOENIX, AZ, 85040",-112.05090501968891,33.401968826819996
8963,8964,278025,4/26/2021,"4207 S 67th Ave, Phoenix, AZ, 85043",1535.0,sqft,181.12,5191.0,sqft,,2.33,4207 S 67th Ave,Phoenix,85043,1,"4207 S 67TH AVE, PHOENIX, AZ, 85043",-112.20402826316354,33.40971243804671
8964,8965,278090,6/10/2021,"7817 W Miami St, Phoenix, AZ, 85043",1717.0,sqft,161.96,5500.0,sqft,,2.0,7817 W Miami St,Phoenix,85043,1,,,
8965,8966,278500,10/14/2021,"1722 E Coronado Rd, Phoenix, AZ, 85006",1023.0,sqft,272.24,7479.0,sqft,2.0,1.0,1722 E Coronado Rd,Phoenix,85006,1,"1722 E CORONADO RD, PHOENIX, AZ, 85006",-112.0449725523431,33.467625350908804
