"1235","1939 W  Berridge Ln, Phoenix, AZ, 85015","Match","Exact","1939 W BERRIDGE LN, PHOENIX, AZ, 85015","-112.10054266537497,33.52638113258013","128302397","L"
"1234","475 N  9th St, Phoenix, AZ, 85006","Match","Exact","475 N 9TH ST, PHOENIX, AZ, 85006","-112.06199954796836,33.45361618512976","128213839","R"
"1233","2722 W Myrtle Ave, Phoenix, AZ, 85051","Match","Exact","2722 W MYRTLE AVE, PHOENIX, AZ, 85051","-112.11798272290207,33.54226916815048","128955058","R"
"810","4132 E Calle Redonda, Phoenix, AZ, 85018","Match","Exact","4132 E CLL REDONDA, PHOENIX, AZ, 85018","-111.99218625928899,33.508386906789326","642649955","L"
"1232","4211 E Palm Ln, Phoenix, AZ, 85008","Match","Exact","4211 E PALM LN, PHOENIX, AZ, 85008","-111.99110996100717,33.46928158005534","128223731","R"
"811","307 W Highland Ave, Phoenix, AZ, 85013","Match","Exact","307 W HIGHLAND AVE, PHOENIX, AZ, 85013","-112.0783034617665,33.50563390974423","128206167","L"
"812","1242 E Berridge Ln, Phoenix, AZ, 85014","Match","Exact","1242 E BERRIDGE LN, PHOENIX, AZ, 85014","-112.0543985531491,33.52563628563172","128302070","L"
"813","6210 N 12th Pl, Phoenix, AZ, 85014","Match","Exact","6210 N 12TH PL, PHOENIX, AZ, 85014","-112.0545492998088,33.52757802423861","128208491","L"
"814","3115 N 55th Ave, Phoenix, AZ, 85031","Match","Exact","3115 N 55TH AVE, PHOENIX, AZ, 85031","-112.17772616619635,33.484392475730374","128198141","R"
"815","15402 N 28th St, Phoenix, AZ, 85032","Match","Exact","15402 N 28TH ST, PHOENIX, AZ, 85032","-112.02217994738402,33.62640785145766","128321762","L"
"816","2026 E Glenrosa Ave, Phoenix, AZ, 85016","Match","Exact","2026 E GLENROSA AVE, PHOENIX, AZ, 85016","-112.03828223800633,33.49845069025707","128209841","L"
"817","4240 E  Camelback Rd, Phoenix, AZ, 85018","Match","Exact","4240 E CAMELBACK RD, PHOENIX, AZ, 85018","-111.9897776434675,33.50968858453393","128920677","L"
"818","6331 E Phoenician Blvd, Scottsdale, AZ, 85251","No_Match"
"819","7120 E Kierland Blvd, Scottsdale, AZ, 85254","No_Match"
"1011","4642 E Southgate Ave, Phoenix, AZ, 85040","Match","Exact","4642 E SOUTHGATE AVE, PHOENIX, AZ, 85040","-111.98136886649269,33.40970104348571","244031214","L"
"1253","2223 E Cactus Rd, Phoenix, AZ, 85022","Match","Exact","2223 E CACTUS RD, PHOENIX, AZ, 85022","-112.03415673615632,33.596700971757","244029442","R"
