Unique ID,Street address,City,State,Zip
181,7219 N  35th Ave,Phoenix,AZ,85051
182,770 E Portland St,Phoenix,AZ,85006
183,2412 E Monroe St,Phoenix,AZ,85034
184,10213 N 15th Ave,Phoenix,AZ,85021
185,17 E  Ruth Ave Unit 308,Phoenix,AZ,85020
186,7007 W  Indian School Rd,Phoenix,AZ,85033
187,1901 W Berridge Ln,Phoenix,AZ,85015
188,2838 W Melvin St,Phoenix,AZ,85009
189,2001 W  Union Hills Dr,Phoenix,AZ,85027
190,2936 E  Van Buren St   Unit 10,Phoenix,AZ,85008
191,4902 E  Thomas Rd,Phoenix,AZ,85018
192,2122 W  Butler Dr,Phoenix,AZ,85021
193,6441 W  McDowell Rd,Phoenix,AZ,85035
194,220 N  12th St,Phoenix,AZ,85034
195,1645 E  Thomas Rd,Phoenix,AZ,85016
196,3802 N  27th St   f60ffd18,Phoenix,AZ,85016
197,10227 N  32nd Ln,Phoenix,AZ,85051
198,3202 W  Bell Rd,Phoenix,AZ,85053
199,4341 N  24th St,Phoenix,AZ,85016
200,1414 E  Osborn Rd,Phoenix,AZ,85014
201,2506 W  Dunlap Ave,Phoenix,AZ,85021
202,9652 N  31st Ave,Phoenix,AZ,85051
203,200 W  Monroe St   B,Phoenix,AZ,85003
204,2911 E  Indian School Rd,Phoenix,AZ,85016
205,1325 N 30th Dr,Phoenix,AZ,85009
206,7725 W  McDowell Rd,Phoenix,AZ,85035
207,4306 N 12th St,Phoenix,AZ,85014
208,1814 W Carol Ave,Phoenix,AZ,85021
209,3434 E  McDowell Rd   ccef1e,Phoenix,AZ,85008
210,622 N  9th Ave,Phoenix,AZ,85007
211,2660 N 43rd Ave,Phoenix,AZ,85009
212,18202 N Cave Creek Rd,Phoenix,AZ,85032
213,1609 W Latham St,Phoenix,AZ,85007
214,102 E Hatcher Rd,Phoenix,AZ,85020
215,2242 W Morten Ave,Phoenix,AZ,85021
216,1545 W  Roosevelt St,Phoenix,AZ,85007
217,1802 N  26th Pl,Phoenix,AZ,85008
218,3001 N  36th St,Phoenix,AZ,85018
219,4802 N  19th Ave,Phoenix,AZ,85015
220,6131 W  Thomas Rd   bd0,Phoenix,AZ,85033
221,5601 W  McDowell Rd   facd3f7,Phoenix,AZ,85035
222,2140 W  Thunderbird Rd,Phoenix,AZ,85023
223,1623 W Missouri Ave,Phoenix,AZ,85015
224,2302 N  27th St,Phoenix,AZ,85008
225,2133 W Morten Ave,Phoenix,AZ,85021
226,5008 E  Thomas Rd,Phoenix,AZ,85018
227,919 N  20th St,Phoenix,AZ,85006
228,9410 N  31st Ave,Phoenix,AZ,85051
229,2222 W  Beardsley Rd,Phoenix,AZ,85027
230,45 E Lexington Ave,Phoenix,AZ,85012
231,2942 E Indian School Rd,Phoenix,AZ,85016
232,17249 N  7th St,Phoenix,AZ,85022
233,1833 E Harvard St,Phoenix,AZ,85006
234,5225 E  Thomas Rd,Phoenix,AZ,85018
235,1450 E  Bell Rd,Phoenix,AZ,85022
236,2004 N 24th St,Phoenix,AZ,85008
237,9502 N 2nd Pl,Phoenix,AZ,85020
238,2535 W Highland Ave,Phoenix,AZ,85017
239,2408 W Morten Ave,Phoenix,AZ,85021
240,1529 E McKinley St,Phoenix,AZ,85006
241,1707 N  18th St,Phoenix,AZ,85006
242,2123 W Devonshire Ave,Phoenix,AZ,85015
243,2123 W Devonshire Ave,Phoenix,AZ,85015
244,7130 N 27th Ave,Phoenix,AZ,85051
245,3646 N  67th Ave Unit 96,Phoenix,AZ,85033
246,1017 N 28th St,Phoenix,AZ,85008
247,4435 N  8th Ave,Phoenix,AZ,85013
248,1725 W  Vogel Ave,Phoenix,AZ,85021
249,4117 N 15th Ave,Phoenix,AZ,85015
250,2936 N  34th Pl,Phoenix,AZ,85018
251,8910 N 3rd St,Phoenix,AZ,85020
252,6320 N  16th St,Phoenix,AZ,85016
253,21420 N  23rd Ave,Phoenix,AZ,85027
254,6805 N 27th Ave,Phoenix,AZ,85017
255,4301 N  24th St,Phoenix,AZ,85016
256,7045 N  7th St,Phoenix,AZ,85020
257,4332 N Longview Ave,Phoenix,AZ,85014
258,8910 N 3rd St,Phoenix,AZ,85020
259,1010 N  48th St,Phoenix,AZ,85008
260,1514 W Palmer Dr,Phoenix,AZ,85021
261,12440 N  19th Ave,Phoenix,AZ,85029
262,6231 W  McDowell Rd   a1b9d,Phoenix,AZ,85035
263,8400 W  Virginia Ave,Phoenix,AZ,85037
264,17216 N  33rd Ave,Phoenix,AZ,85053
265,5632 S Montezuma St,Phoenix,AZ,85041
266,1630 W Garfield St,Phoenix,AZ,85007
267,2846 E Kathleen Rd,Phoenix,AZ,85032
268,6201 N 23rd Ave,Phoenix,AZ,85015
269,2845 E  Grandview Rd,Phoenix,AZ,85032
270,3434 E  Baseline Rd Unit 121,Phoenix,AZ,85042
271,4224 S 24th St,Phoenix,AZ,85040
272,1119 E Eva St APT B,Phoenix,AZ,85020
273,1107 E Eva St,Phoenix,AZ,85020
274,2041 W Berridge Ln,Phoenix,AZ,85015
275,9201 N  12th St,Phoenix,AZ,85020
276,4126 N 22nd St,Phoenix,AZ,85016
277,811 E Carol Ave,Phoenix,AZ,85020
278,137 E  Coronado Rd,Phoenix,AZ,85004
279,3211 E  Pinchot Ave,Phoenix,AZ,85018
280,5704 W  Thomas Rd,Phoenix,AZ,85031
281,5775 W  Roosevelt St   ea3e462,Phoenix,AZ,85043
282,801 W  Turney Ave  a5b56,Phoenix,AZ,85013
