Unique ID,Property URL,Property type,Rental price (USD per month),Living area,Living area unit,Price per living area unit (USD),Bedrooms,Bathrooms,Street address,City,Zip,State,Country,AC,Address,Match,Exact,Formatted Address,Coordinates,N,LR
616,https://www.zillow.com/homedetails/1402-E-Pierce-St-UNIT-A-Phoenix-AZ-85006/2060417410_zpid/,Apartment,1350.0,503.0,sqft,2.68,1.0,1.0,1402 E Pierce St UNIT A,Phoenix,85006,AZ,USA,0.0,"1402 E Pierce St UNIT A, Phoenix, AZ, 85006",Match,Non_Exact,"1402 E PIERCE ST, PHOENIX, AZ, 85006","-112.05201419816456,33.45587817646441",128214679.0,L
617,https://www.zillow.com/homedetails/2135-W-Hadley-St-UNIT-3-Phoenix-AZ-85009/2084503527_zpid/,Apartment,1350.0,450.0,sqft,3.0,1.0,1.0,2135 W Hadley St,Phoenix,85009,AZ,USA,1.0,"2135 W Hadley St, Phoenix, AZ, 85009",Match,Exact,"2135 W HADLEY ST, PHOENIX, AZ, 85009","-112.10512700488596,33.43940159008736",128210947.0,L
618,https://www.zillow.com/apartments/phoenix-az/maryland-court-apartments/5ZbRvX/,Building,,,,,,,80 W  Maryland Ave,Phoenix,85013,AZ,USA,0.0,"80 W  Maryland Ave, Phoenix, AZ, 85013",Match,Exact,"80 W MARYLAND AVE, PHOENIX, AZ, 85013","-112.0758957907716,33.5311072909559",648240800.0,R
619,https://www.zillow.com/homedetails/526-W-Roosevelt-St-Phoenix-AZ-85003/123985217_zpid/,Apartment,1350.0,705.0,sqft,1.91,1.0,1.0,526 W Roosevelt St,Phoenix,85003,AZ,USA,1.0,"526 W Roosevelt St, Phoenix, AZ, 85003",Match,Exact,"526 W ROOSEVELT ST, PHOENIX, AZ, 85003","-112.08053194989867,33.45874917756208",128211898.0,R
620,https://www.zillow.com/homedetails/3615-E-Coronado-Rd-17-Phoenix-AZ-85008/347108691_zpid/,Apartment,1350.0,,,,1.0,1.0,3615 E Coronado Rd,Phoenix,85008,AZ,USA,0.0,"3615 E Coronado Rd, Phoenix, AZ, 85008",Match,Exact,"3615 E CORONADO RD, PHOENIX, AZ, 85008","-112.00385093402463,33.467364580982974",128223308.0,R
621,https://www.zillow.com/apartments/phoenix-az/station-19/5Xk8XM/,Building,,,,,,,7625 N  19th Ave  c48f05,Phoenix,85021,AZ,USA,0.0,"7625 N  19th Ave  c48f05, Phoenix, AZ, 85021",Match,Non_Exact,"7625 N 19TH AVE, PHOENIX, AZ, 85021","-112.09957445541954,33.548508430262984",128918496.0,R
622,"https://www.zillow.com/b/.num.1016-phoenix-2021,-llc-phoenix-az-5YWvjV/",Apartment,1350.0,650.0,sqft,2.08,1.0,1.0,844 W Hazelwood St,Phoenix,85013,AZ,USA,0.0,"844 W Hazelwood St, Phoenix, AZ, 85013",Match,Exact,"844 W HAZELWOOD ST, PHOENIX, AZ, 85013","-112.08450830056614,33.50400027115376",128206183.0,R
623,https://www.zillow.com/b/marlette-8-phoenix-az-CdCcr9/,Building,,,,,,,825 & 835 E  Marlette Ave,Phoenix,85014,AZ,USA,1.0,"825 & 835 E  Marlette Ave, Phoenix, AZ, 85014",Match,Non_Exact,"835 E MARLETTE AVE, PHOENIX, AZ, 85014","-112.06355515169207,33.529096444465495",128208397.0,R
624,https://www.zillow.com/homedetails/3818-E-Earll-Dr-45BB7C640-Phoenix-AZ-85018/2053144811_zpid/,Apartment,1350.0,759.0,sqft,1.78,2.0,2.0,3818 E Earll Dr,Phoenix,85018,AZ,USA,0.0,"3818 E Earll Dr, Phoenix, AZ, 85018",Match,Exact,"3818 E EARLL DR, PHOENIX, AZ, 85018","-111.99940871149943,33.48417496666167",128223567.0,L
625,https://www.zillow.com/apartments/phoenix-az/eugie-apartments/5Yy7SJ/,Building,,,,,,,2216 E  Eugie Ter,Phoenix,85022,AZ,USA,0.0,"2216 E  Eugie Ter, Phoenix, AZ, 85022",Match,Exact,"2216 E EUGIE TER, PHOENIX, AZ, 85022","-112.0354455376243,33.609173613520454",128914941.0,L
626,https://www.zillow.com/apartments/phoenix-az/maa-central-ave/5ZbGSX/,Building,,,,,,,31 E  Thomas Rd,Phoenix,85012,AZ,USA,1.0,"31 E  Thomas Rd, Phoenix, AZ, 85012",Match,Exact,"31 E THOMAS RD, PHOENIX, AZ, 85012","-112.07329045376207,33.480198582861306",128212944.0,R
627,https://www.zillow.com/apartments/phoenix-az/maa-foothills/9ggMCd/,Building,,,,,,,32615 N  Valley Pkwy,Phoenix,85085,AZ,USA,1.0,"32615 N  Valley Pkwy, Phoenix, AZ, 85085",No_Match,,,,,
628,https://www.zillow.com/homedetails/732-W-Southgate-Ave-3-Phoenix-AZ-85041/2079053209_zpid/,Apartment,1355.0,900.0,sqft,1.51,2.0,1.0,732 W Southgate Ave,Phoenix,85041,AZ,USA,1.0,"732 W Southgate Ave, Phoenix, AZ, 85041",Match,Exact,"732 W SOUTHGATE AVE, PHOENIX, AZ, 85041","-112.08255060731591,33.409952771826795",128318851.0,R
629,https://www.zillow.com/apartments/phoenix-az/cordillera/5XjqDV/,Building,,,,,,,17017 N  12th St Unit 2120,Phoenix,85022,AZ,USA,0.0,"17017 N  12th St Unit 2120, Phoenix, AZ, 85022",Match,Exact,"17017 N 12TH ST, PHOENIX, AZ, 85022","-112.05678360906404,33.6405040869912",637792495.0,R
630,https://www.zillow.com/b/4801-east-willetta-street-3-phoenix-az-9TThGM/,Apartment,1356.0,600.0,sqft,2.26,1.0,1.0,4801 E Willetta St,Phoenix,85008,AZ,USA,0.0,"4801 E Willetta St, Phoenix, AZ, 85008",Match,Exact,"4801 E WILLETTA ST, PHOENIX, AZ, 85008","-111.97836350196161,33.463298921290516",128223976.0,R
631,https://www.zillow.com/apartments/phoenix-az/the-cove-apartments/5XhyLF/,Building,,,,,,,2545 N  83rd Ave,Phoenix,85035,AZ,USA,1.0,"2545 N  83rd Ave, Phoenix, AZ, 85035",Match,Exact,"2545 N 83RD AVE, PHOENIX, AZ, 85035","-112.23774139957789,33.4762633021607",623945875.0,R
632,https://www.zillow.com/apartments/phoenix-az/san-valiente/5XjqCv/,Building,,,,,,,2220 W  Mission Ln,Phoenix,85021,AZ,USA,0.0,"2220 W  Mission Ln, Phoenix, AZ, 85021",Match,Exact,"2220 W MISSION LN, PHOENIX, AZ, 85021","-112.10746254690628,33.56973716386278",128354205.0,L
633,https://www.zillow.com/homedetails/1499-N-53rd-Ave-A-Phoenix-AZ-85043/345432658_zpid/,Apartment,1364.0,850.0,sqft,1.6,2.0,1.0,1499 N 53rd Ave,Phoenix,85043,AZ,USA,1.0,"1499 N 53rd Ave, Phoenix, AZ, 85043",Match,Exact,"1499 N 53RD AVE, PHOENIX, AZ, 85043","-112.17493976962214,33.465428069634925",128391143.0,L
634,https://www.zillow.com/apartments/phoenix-az/array-south-mountain/5XhyYP/,Building,,,,,,,13229 S  48th St 2052,Phoenix,85044,AZ,USA,1.0,"13229 S  48th St 2052, Phoenix, AZ, 85044",Match,Non_Exact,"13229 S 48TH ST, PHOENIX, AZ, 85044","-111.97989436278817,33.325321411568666",128964352.0,L
635,https://www.zillow.com/apartments/phoenix-az/arboretum-at-south-mountain/5XhyJR/,Building,,,,,,,15251 S  50th St,Phoenix,85044,AZ,USA,0.0,"15251 S  50th St, Phoenix, AZ, 85044",Match,Exact,"15251 S 50TH ST, PHOENIX, AZ, 85044","-111.9759850245751,33.30814946330463",244035890.0,L
636,https://www.zillow.com/apartments/phoenix-az/mountainside/5XhyXT/,Building,,,,,,,3625 E  Ray Rd,Phoenix,85044,AZ,USA,1.0,"3625 E  Ray Rd, Phoenix, AZ, 85044",Match,Exact,"3625 E RAY RD, PHOENIX, AZ, 85044","-112.00645186963789,33.315314037101075",128923610.0,R
637,https://www.zillow.com/b/4201-n-20th-st-phoenix-az-5Xk2pC/,Building,,,,,,,4201 N  20th St   Unit 218,Phoenix,85016,AZ,USA,0.0,"4201 N  20th St   Unit 218, Phoenix, AZ, 85016",Match,Exact,"4201 N 20TH ST, PHOENIX, AZ, 85016","-112.03882763123221,33.49669304756168",128209838.0,R
638,https://www.zillow.com/homedetails/1601-W-Sunnyside-Dr-UNIT-136-Phoenix-AZ-85029/7784725_zpid/,Apartment,1375.0,1000.0,sqft,1.38,2.0,1.0,1601 W Sunnyside Dr,Phoenix,85029,AZ,USA,0.0,"1601 W Sunnyside Dr, Phoenix, AZ, 85029",Match,Exact,"1601 W SUNNYSIDE DR, PHOENIX, AZ, 85029","-112.0933656601427,33.592844604625554",128181941.0,L
639,https://www.zillow.com/b/3236-e-chandler-blvd-phoenix-az-5Xk2p2/,Building,,,,,,,3236 E  Chandler Blvd Unit 3094,Phoenix,85048,AZ,USA,1.0,"3236 E  Chandler Blvd Unit 3094, Phoenix, AZ, 85048",Match,Exact,"3236 E CHANDLER BLVD, PHOENIX, AZ, 85048","-112.01360994826268,33.30527219507809",243914509.0,L
640,https://www.zillow.com/homedetails/721-E-Sierra-Vista-Dr-APT-3-Phoenix-AZ-85014/2080892186_zpid/,Apartment,1375.0,500.0,sqft,2.75,1.0,1.0,721 E Sierra Vista Dr,Phoenix,85014,AZ,USA,0.0,"721 E Sierra Vista Dr, Phoenix, AZ, 85014",Match,Exact,"721 E SIERRA VISTA DR, PHOENIX, AZ, 85014","-112.06467468071304,33.53195441764257",128307784.0,R
641,https://www.zillow.com/homedetails/3323-W-Monroe-St-B-Phoenix-AZ-85009/2079396263_zpid/,Apartment,1375.0,750.0,sqft,1.83,1.0,1.0,3323 W Monroe St,Phoenix,85009,AZ,USA,1.0,"3323 W Monroe St, Phoenix, AZ, 85009",Match,Exact,"3323 W MONROE ST, PHOENIX, AZ, 85009","-112.13053496382224,33.450401924520406",128202124.0,L
642,https://www.zillow.com/apartments/phoenix-az/haven-at-south-mountain-apartments/5XhyPV/,Building,,,,,,,1630 E  Baseline Rd,Phoenix,85042,AZ,USA,0.0,"1630 E  Baseline Rd, Phoenix, AZ, 85042",No_Match,,,,,
643,https://www.zillow.com/apartments/phoenix-az/pearl-biltmore/BPGF6P/,Building,,,,,,,2323 E  Highland Ave,Phoenix,85016,AZ,USA,1.0,"2323 E  Highland Ave, Phoenix, AZ, 85016",Match,Exact,"2323 E HIGHLAND AVE, PHOENIX, AZ, 85016","-112.031803662181,33.505636946050515",128919147.0,R
644,https://www.zillow.com/apartments/phoenix-az/camelback-village-apartments/9TV8B3/,Building,,,,,,,2936 N  30th St,Phoenix,85016,AZ,USA,1.0,"2936 N  30th St, Phoenix, AZ, 85016",Match,Exact,"2936 N 30TH ST, PHOENIX, AZ, 85016","-112.01729443567098,33.4812696529151",642658273.0,L
645,https://www.zillow.com/apartments/phoenix-az/cortina/5XhyKr/,Building,,,,,,,11 E  Bell Rd,Phoenix,85022,AZ,USA,1.0,"11 E  Bell Rd, Phoenix, AZ, 85022",Match,Exact,"11 E BELL RD, PHOENIX, AZ, 85022","-112.07395970090073,33.64020162421366",128927661.0,L
646,https://www.zillow.com/apartments/phoenix-az/escondido-apartments/5XhyKK/,Apartment,1375.0,600.0,sqft,2.29,1.0,1.0,4422 N 36th St,Phoenix,85018,AZ,USA,0.0,"4422 N 36th St, Phoenix, AZ, 85018",Match,Exact,"4422 N 36TH ST, PHOENIX, AZ, 85018","-112.0042410258938,33.501131859661086",128219640.0,L
647,https://www.zillow.com/apartments/phoenix-az/elevation-on-central/65Y879/,Building,,,,,,,4650 N  Central Ave  Unit 272,Phoenix,85012,AZ,USA,0.0,"4650 N  Central Ave  Unit 272, Phoenix, AZ, 85012",Match,Exact,"4650 N CENTRAL AVE, PHOENIX, AZ, 85012","-112.07382943287195,33.504295578915674",128919033.0,L
648,https://www.zillow.com/apartments/phoenix-az/del-mar-apartments/5XhyQT/,Building,,,,,,,8550 W  McDowell Rd,Phoenix,85037,AZ,USA,1.0,"8550 W  McDowell Rd, Phoenix, AZ, 85037",Match,Exact,"8550 W MCDOWELL RD, PHOENIX, AZ, 85037","-112.24485621093908,33.46537022045703",244036657.0,L
649,https://www.zillow.com/apartments/phoenix-az/alanza-place/5XhyGF/,Building,,,,,,,1121 N  44th St,Phoenix,85008,AZ,USA,0.0,"1121 N  44th St, Phoenix, AZ, 85008",Match,Exact,"1121 N 44TH ST, PHOENIX, AZ, 85008","-111.98703281915863,33.46090917238422",243920744.0,R
650,https://www.zillow.com/homedetails/2519-E-Thomas-Rd-10-Phoenix-AZ-85016/347153179_zpid/,Apartment,1385.0,605.0,sqft,2.29,1.0,1.0,2519 E Thomas Rd,Phoenix,85016,AZ,USA,1.0,"2519 E Thomas Rd, Phoenix, AZ, 85016",Match,Exact,"2519 E THOMAS RD, PHOENIX, AZ, 85016","-112.02774071292123,33.48027261452654",128214459.0,R
